,0,1,2
179,5.584364,2.135499,5.329332
180,6.951412,2.2449512,6.0572324
181,9.718985,1.1146724,6.5378504
182,9.826596,1.1849022,6.665021
183,7.0199084,1.9366671,6.724186
184,9.98243,0.4851143,7.685988
185,6.70518,2.1983874,6.3453693
186,9.215066,0.6341383,7.8782206
187,5.280548,2.637737,5.207945
188,5.5364895,2.9178145,5.761417
189,-1.1473621,5.285803,5.579271
190,7.0444016,1.3700767,7.8963237
191,6.870461,2.7499375,5.928725
192,4.658098,3.1459177,5.367556
193,-2.9117098,6.4988456,5.8861094
194,8.139843,0.46237463,6.963503
195,8.910618,1.7059052,6.4349866
196,5.778153,3.3183143,5.9899216
197,-1.1801265,5.621203,5.8861575
198,5.46025,2.3537867,5.4745097
199,10.167639,0.70213985,7.2849755
200,9.631866,1.3885262,7.1342072
201,7.7887597,2.4051762,5.9557424
202,5.320394,2.186471,5.38923
203,5.1562643,2.460559,6.1725283
204,7.82265,1.6981585,7.2008915
205,-0.92003995,4.987449,4.635072
206,-0.80505997,5.500774,4.789392
207,5.0136757,4.196973,5.030176
208,9.01279,0.33989486,7.808688
209,-0.5743821,5.336109,5.9422555
210,4.6456733,3.5486267,5.406565
211,5.238142,2.3175056,5.436257
212,6.9702196,2.0500865,5.934376
213,-1.7971182,6.3195224,4.7024617
214,-2.9394438,6.647213,5.865388
215,5.470677,2.795614,5.5984793
216,4.915173,4.161275,5.1340723
217,4.983826,3.251469,4.7083535
218,4.9780235,4.294221,4.937251
219,7.512211,1.3170929,7.9502
220,-0.7715792,5.2694855,4.5518527
221,-0.8210271,5.0591826,5.0012145
222,-0.91764414,5.715433,5.2585115
223,-0.7542541,5.2061315,4.9031286
224,-2.7606423,6.57117,5.762786
225,5.782434,2.3298118,5.1591415
226,-0.66865057,5.072803,5.273239
227,5.583029,2.1933286,4.9766264
228,-0.67720103,5.031965,4.838558
229,-1.4609255,5.3939333,4.771184
230,-0.6099517,5.1656857,5.0244007
231,5.4093146,2.9527187,5.6284585
232,-2.185511,6.5005083,5.0488577
233,6.1726055,2.3432238,5.5475397
234,-1.9470851,6.204737,4.997436
235,7.545067,0.7235784,7.2318554
236,-2.2269409,6.566829,5.212217
237,-1.0126283,5.7212815,5.3536983
238,-2.77938,6.0193205,5.2685165
239,4.9590287,4.114462,5.06447
240,-2.1539133,6.065252,5.3921447
241,-2.7421453,5.963908,5.3506618
242,4.9411187,2.9717536,5.8723264
243,7.8741817,0.82515055,7.018685
244,7.993688,1.4126823,7.05655
245,7.4965773,1.1803318,7.7557697
246,6.694846,1.6642671,5.3152194
247,6.353238,2.651542,5.8231583
248,9.573149,1.5108595,6.737745
249,9.911921,0.94652945,7.11066
250,7.289749,0.98516566,8.013587
251,8.775503,0.3514233,7.636523
252,7.099683,0.8843322,7.261843
253,5.3902035,3.1318798,5.8187284
254,5.228154,3.2721715,5.8956704
255,5.5180826,2.0142457,5.530924
256,8.212097,1.428544,7.369384
257,-2.657019,6.325779,5.710827
258,-0.78197646,5.0176826,4.769609
259,-1.1549021,5.6244993,5.842718
260,-2.5724862,6.1283784,5.1672893
261,6.459826,2.0223057,5.955342
262,4.779962,3.7217562,5.253905
263,5.969657,2.8617704,5.972965
264,6.35118,2.051184,5.7594543
265,4.629862,3.551864,5.468418
266,-0.7190617,5.3937774,5.108244
267,8.158332,0.6063327,7.6522098
268,8.365995,0.5148148,7.7445946
269,-2.0142126,6.0212893,5.1614733
270,9.947249,0.4951357,7.7689443
271,-1.6960598,5.842809,5.6156335
272,8.191647,2.230629,6.2821426
273,9.575641,1.0098003,6.8592296
274,9.5554495,1.293307,6.473936
275,7.9917197,1.4254242,7.664821
276,-2.5027494,6.1927047,5.044341
277,7.019262,1.96728,5.902897
278,6.7146735,1.9486582,5.4825463
279,6.8838525,2.1337605,6.341053
280,6.614171,1.5872808,5.2345834
281,6.887893,1.707076,5.6875544
282,6.321546,1.4169745,5.7663927
283,-2.3427222,6.5997458,5.172945
284,5.6670136,2.1677277,6.279612
285,6.2949467,1.7295119,5.149754
286,5.8207603,2.8497534,5.347368
287,-2.3725483,6.4715295,5.629818
288,-2.2349262,6.343931,5.211721
289,7.876086,1.5535611,6.5483823
290,-1.7168484,5.611137,4.8528423
291,-0.6516909,5.028531,5.301431
292,8.156724,0.6253723,7.123095
293,-0.75574225,5.2372737,4.8519173
