,Type,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,exp_stage,cell
1916,1,0.3888717110780884,0.3739891395749897,0.6517553389759534,0.46882627419695544,0.39808734711439087,0.36408509618175366,0.7243531362432705,0.43097135438404033,0.6726254494017823,0.3960904770306787,0.42828863809690065,0.8207058546969918,0.24525274308571832,0.3073687021614536,0.40424406611314456,0.5747933976611477,0.656503025232861,0.399073424298901,0.4738037746278825,0.5372539947583195,0.6592918616747281,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_124
1917,1,0.3727226350864201,0.3357668097813137,0.6486960567374008,0.5937527014281457,0.4415178514585122,0.41910134772566454,0.678161510242034,0.6828599294941504,0.471635931146852,0.4617910447125523,0.4929904101039767,0.7989736751456165,0.36931796627920666,0.17828459701379995,0.34660719601883727,0.521177086513039,0.5765424601850837,0.399073424298901,0.7138286137396819,0.6164875069762437,0.6263541721007306,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_127
1918,1,0.4889016072309602,0.5135408305405322,0.4851629065952976,0.5937527014281457,0.48208497842499787,0.45891207846622106,0.665273674915613,0.6285292089035934,0.4728870010211971,0.5878025583680206,0.5144526499006,0.7921280840461893,0.6414870345085948,0.31380769442588285,0.4969250114876633,0.5747933976611477,0.5111828163942556,0.5385973428622188,0.6286503544551977,0.6614548887363021,0.5965432392173131,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_134
1919,1,0.7341654744816196,0.5613183324766156,0.36949746453869925,0.5723363299973057,0.4665133153248645,0.45890842552171907,0.7586506982784086,0.3542002108844008,0.3148706420193865,0.4925184274336918,0.49627961072684024,0.8446728613351443,0.41467023828427685,0.45398458574675593,0.37611918124227783,0.6996452607294283,0.6173846755923943,0.4564603463150889,0.5879934756977288,0.7213377019380154,0.6761548869146723,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_145
1920,1,0.6244119354096251,0.3435346451804372,0.629767469992655,0.5644288826566488,0.4850310834291075,0.39524647776156674,0.6645213554848146,0.5002889959361969,0.7010977384487681,0.6014409663374061,0.511205757643602,0.8186829941948128,0.49916555907128823,0.29499874018806227,0.445464960377873,0.5496995418701426,0.5378250744883364,0.399073424298901,0.5486304203629706,0.5853045403243403,0.5952287439561145,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_147
1921,3,0.7436323439491185,0.5920838780604436,0.5810765776311961,0.763427216844311,0.5421593803438458,0.40582912205295263,0.5835493989816791,0.5043924736879382,0.6302056413788814,0.6330005042402735,0.5504665377666997,0.8237810518940673,0.21607037352944247,0.23761530959508503,0.6216047771100622,0.5972823821702341,0.5550222543240377,0.399073424298901,0.5105656410359205,0.5853045403243403,0.5401152617809417,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_155
1922,3,0.5163105787138966,0.5437046707522804,0.6424980604026334,0.7733134749346527,0.5742432302743616,0.3892750662558343,0.4644193131825589,0.6800908154658731,0.6030234829225936,0.6051445621007736,0.5764887820185995,0.7921280840461893,0.46765790971286125,0.24101668246780628,0.6112724116637813,0.5747933976611477,0.43952067502961434,0.399073424298901,0.8041327837207297,0.4346043920163515,0.45041168796839903,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_161
1923,1,0.6405169802610666,0.3683261538624125,0.400442022656085,0.6290359119591886,0.4497063382841795,0.3759984261345508,0.6858298818409001,0.3498984387902546,0.5237329481650788,0.8282159890466154,0.4705163559537615,0.8400364583587624,0.3494617224386404,0.37179895210802594,0.49767768296970716,0.6364844559203602,0.6358239219475106,0.5708494347424871,0.6286503544551977,0.72565674289426,0.621691647079578,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_164
1924,3,0.6032625013617768,0.36072859773230215,0.7159461052722533,0.5723363299973057,0.6642987430662385,0.3904106330970831,0.49984404260100246,0.6515544443290158,0.6988384401618366,0.5684584254764988,0.5949455138255404,0.7971325007368519,0.7229473233934364,0.5129775248354442,0.5593768243362702,0.521177086513039,0.43399315224235213,0.3147964637683749,0.8041327837207297,0.4538509091060213,0.4842592018108216,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_168
1925,3,0.6145777257540286,0.37132782611311055,0.6028126148555257,0.7541261595088689,0.6203954378842815,0.4563855066128849,0.4842523889171333,0.6075817343401371,0.621328859586946,0.8137433351125001,0.5650924689652238,0.8122456284005117,0.3064426202321293,0.4088838189909113,0.6239968506931484,0.6364844559203602,0.36739837526721253,0.399073424298901,0.7138286137396819,0.5137454125635426,0.4648081801928121,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_171
1926,1,0.8170194526097105,0.15715357543996544,0.5412201484162291,0.6907985361729693,0.42254702262604593,0.5396990587274714,0.5456449141515263,0.3498984387902546,0.5972438342860497,0.8253415131406017,0.47293941400417616,0.8383346844446449,0.6866677549342752,0.5791127189964469,0.399881275141187,0.6700852125595133,0.5342070355391523,0.4564603463150889,0.6286503544551977,0.6164875069762437,0.5207983399866478,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_179
1927,3,0.696449775896196,0.4912164084811015,0.6063009477878907,0.7480400576197921,0.5184488481465102,0.4307136285034834,0.6162676780181529,0.44721915281980607,0.471635931146852,0.5847306761287572,0.5386342424539114,0.801292592004654,0.5079909052187873,0.30684925599221413,0.5498069414368576,0.5496995418701426,0.46257935297974273,0.399073424298901,0.5879934756977288,0.6164875069762437,0.5894159738552336,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_195
1928,1,0.6132125524484007,0.31677651682199326,0.4580220347923867,0.6779716152056188,0.44543600811033235,0.34955972678682834,0.6437152550476852,0.5357872157039629,0.5041351516590282,0.7756010426355963,0.5114844319010585,0.8232649786715722,0.3862016227177436,0.2884437667121461,0.5421223457785418,0.6538689657819412,0.5818236303442632,0.399073424298901,0.8041327837207297,0.6934754001587867,0.6101489619275502,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_204
1929,0,0.600717438214197,0.35677186236581926,0.5098565242093939,0.6509572782423543,0.702045726477915,0.4528126186096201,0.4039036862510418,0.5614357888988247,0.4583176322245238,0.5976550802286745,0.5886188337246994,0.8166807014464821,0.44509212676900445,0.4967511551110787,0.7978732544257856,0.7384411523906682,0.2484292250043777,0.6704015443828433,0.8041327837207297,0.6091498675933749,0.3684963644038842,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_216
1930,1,0.4212126435879625,0.3898067582570609,0.44027689518991764,0.4194868407410952,0.4633389575371222,0.5291360470752564,0.7332205603352602,0.4139024037452427,0.5415470808538656,0.5554105032613802,0.423299131609009,0.8372106721493275,0.384814386477612,0.3402505093756115,0.46728412303608324,0.7132280223770225,0.6355832832266017,0.399073424298901,0.7138286137396819,0.7124384786318578,0.6903660666877297,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_222
1931,0,0.5384190798795916,0.5678010752451413,0.7107732445662183,0.900627551267058,0.6496704020689962,0.4191798350731851,0.4632720348548349,0.523000061082638,0.6010466819107413,0.8276441892782033,0.628139956728706,0.8122456284005117,0.43519339034614635,0.45465209724418365,0.6268167298212728,0.5747933976611477,0.3815437061721455,0.9661779397703965,0.7138286137396819,0.4538509091060213,0.42778523824491277,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_228
1932,1,0.6536602974240977,0.4114216491732555,0.5412201484162291,0.7269179037717144,0.49745427029902645,0.5051653354610809,0.6812210686066283,0.6622028832368358,0.9599173805070288,0.5661623500603796,0.5240203248614084,0.7283959960934732,0.2774057261135089,0.2905772125733336,0.42798990214913957,0.6700852125595133,0.6074564834882712,0.5012811020556647,0.7138286137396819,0.6235611919944646,0.5988115758725013,231_none,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1_cell_249
1933,1,0.4268605631666015,0.4427951481034512,0.30097502862744296,0.5044897598581107,0.38736223473764786,0.4469268784858731,0.7147719459440143,0.24000441380085413,0.4805585532443478,0.4925184274336918,0.4901587238798266,0.8464509650903224,0.5810843410242711,0.5788068360236138,0.3856001995065409,0.5972823821702341,0.6147716964454973,0.5994199372609414,0.6705967748418274,0.8105243820600792,0.7360988051347842,231_none,cancer_20201217_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1_cell_23
1934,0,0.5406532463849517,0.5719475532185208,0.5325923502859111,0.7764851548457907,0.6619717359745924,0.3811515957197298,0.4180418695641319,0.4877114985683507,0.2834816489642977,0.7975414587006335,0.5869285984955095,0.8622779015411222,0.30675739166202387,0.3251703072205052,0.5841212372550055,0.5972823821702341,0.374154233506407,0.9292472149137176,0.5105656410359205,0.6164875069762437,0.4215694512033511,231_none,cancer_20201217_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1_cell_33
1935,1,0.6895560253783721,0.49079627929648295,0.38550672810077513,0.5376631858418003,0.4797729786502133,0.32339172532023985,0.7147719459440143,0.2660077286393102,0.7777908033994607,0.43694578680540064,0.5032724387654482,0.7962163551352432,0.6260681737928024,0.3947120107582869,0.4241310059483496,0.5972823821702341,0.5815455662209302,0.5012811020556647,0.8511975691707441,0.7460857427989003,0.6769531033359275,231_none,cancer_20201217_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1_cell_34
1936,1,0.6336619128236408,0.2653507038615954,0.34297051467241724,0.7137257481288333,0.27865890784455116,0.5385421411296017,0.6766356173342369,0.45815852373199406,0.6726841736782042,0.5614712001715658,0.42231499867356626,0.8406080376276232,0.328876656953606,0.14572778153247,0.602218793394256,0.6996452607294283,0.5992976312737375,0.5385973428622188,0.5486304203629706,0.768405440801716,0.651319564355695,231_none,cancer_20201217_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1_cell_112
1937,1,0.23105667873639923,0.2038136345221706,0.3521956258734876,0.5723363299973057,0.32252057853294747,0.3378916914034502,0.37134450088926474,0.4050220399142681,0.5510288057920752,0.7965480086637474,0.31368342774776503,0.8410860422395056,0.375708909151487,0.2696384825558168,0.720088029626693,0.6538689657819412,0.5182952602647487,0.6486985928160112,0.6705967748418274,0.768405440801716,0.4653522560474682,231_none,cancer_20201217_slip2_area1_long_acq_foc_correct_long_acq_blue_0.0318_green_0.0772_heated_to_37_1_cell_21
